training episode 1 of 100 complete,  explore val = 0.995, episode reward = 50.0
training episode 64 of 100 complete,  explore val = 0.726, episode reward = 16.0
training episode 65 of 100 complete,  explore val = 0.722, episode reward = 38.0
training episode 66 of 100 complete,  explore val = 0.718, episode reward = 19.0
training episode 67 of 100 complete,  explore val = 0.715, episode reward = 13.0
training episode 68 of 100 complete,  explore val = 0.711, episode reward = 22.0
training episode 69 of 100 complete,  explore val = 0.708, episode reward = 12.0
training episode 70 of 100 complete,  explore val = 0.704, episode reward = 24.0
training episode 71 of 100 complete,  explore val = 0.701, episode reward = 35.0
training episode 72 of 100 complete,  explore val = 0.697, episode reward = 38.0
training episode 73 of 100 complete,  explore val = 0.694, episode reward = 48.0
training episode 74 of 100 complete,  explore val = 0.69, episode reward = 31.0
training episode 75 of 100 complete,  explore val = 0.687, episode reward = 24.0
training episode 76 of 100 complete,  explore val = 0.683, episode reward = 26.0
training episode 77 of 100 complete,  explore val = 0.68, episode reward = 40.0
training episode 78 of 100 complete,  explore val = 0.676, episode reward = 49.0
training episode 79 of 100 complete,  explore val = 0.673, episode reward = 42.0
training episode 80 of 100 complete,  explore val = 0.67, episode reward = 41.0
training episode 81 of 100 complete,  explore val = 0.666, episode reward = 29.0
training episode 82 of 100 complete,  explore val = 0.663, episode reward = 66.0
training episode 83 of 100 complete,  explore val = 0.66, episode reward = 88.0
training episode 84 of 100 complete,  explore val = 0.656, episode reward = 79.0
training episode 85 of 100 complete,  explore val = 0.653, episode reward = 49.0
training episode 86 of 100 complete,  explore val = 0.65, episode reward = 26.0
training episode 87 of 100 complete,  explore val = 0.647, episode reward = 104.0
training episode 88 of 100 complete,  explore val = 0.643, episode reward = 66.0
training episode 89 of 100 complete,  explore val = 0.64, episode reward = 44.0
training episode 90 of 100 complete,  explore val = 0.637, episode reward = 51.0
training episode 91 of 100 complete,  explore val = 0.634, episode reward = 67.0
training episode 92 of 100 complete,  explore val = 0.631, episode reward = 28.0
training episode 93 of 100 complete,  explore val = 0.627, episode reward = 74.0
training episode 94 of 100 complete,  explore val = 0.624, episode reward = 57.0
training episode 95 of 100 complete,  explore val = 0.621, episode reward = 40.0
training episode 96 of 100 complete,  explore val = 0.618, episode reward = 28.0
training episode 97 of 100 complete,  explore val = 0.615, episode reward = 28.0
training episode 98 of 100 complete,  explore val = 0.612, episode reward = 81.0
training episode 99 of 100 complete,  explore val = 0.609, episode reward = 17.0
training episode 100 of 100 complete,  explore val = 0.606, episode reward = 16.0
q-learning algorithm complete
